Area,PLC,Scope,AOI,Name
13_CCHA,OP010,Controller,CTL_ModeControl,Area_Mode
13_CCHA,OP010,Controller,SAF_AddSafetyFault,AREA_SFM01
13_CCHA,OP010,Controller,MCP_Housekeeping,Housekeeping
13_CCHA,OP010,Controller,MCP_MessageServer,MCP_MessageServer
13_CCHA,OP010,Controller,CTL_DNetInterfaceEN2DN,OP010_DNetInterfaceEN2DN
13_CCHA,OP010,Controller,CTL_ModeControl,OP010_Mode
13_CCHA,OP010,Controller,PCT_MDATA_Movements,OP010_SOP100_MDATA_M01
13_CCHA,OP010,Controller,CTL_ModeControl,OP010_SOP100_Mode
13_CCHA,OP010,Controller,TRA_PDCreate,OP010_SOP100_PDC01
13_CCHA,OP010,Controller,TRA_PDDelete,OP010_SOP100_PDD_01
13_CCHA,OP010,Controller,TRA_RB2Dir2Spd,OP010_SOP100_RB01
13_CCHA,OP010,Controller,USR_SEQ_RBwDoor_Infeed,OP010_SOP100_Seq
13_CCHA,OP010,Controller,CTL_SeqCtrl,OP010_SOP100_SEQ01
13_CCHA,OP010,Controller,DRV_ArmorStart_VFD,OP010_SOP100_U01
13_CCHA,OP010,Controller,CTL_GateEntReq,OP010_SOP110t170_Gate01
13_CCHA,OP010,Controller,CTL_ModeControl,OP010_SOP110t170_Mode
13_CCHA,OP010,Controller,CTL_SeqCtrl,OP010_SOP110t170_SEQ01
13_CCHA,OP010,Controller,PCT_InViewDisplay,OP010_SOP110_InView01
13_CCHA,OP010,Controller,MOT_Mo2Dir2Pos2Speed,OP010_SOP110_M01
13_CCHA,OP010,Controller,MOT_Mo2Dir2Pos2Speed,OP010_SOP110_M02
13_CCHA,OP010,Controller,PCT_MDATA_Movements,OP010_SOP110_MDATA_M01
13_CCHA,OP010,Controller,TRA_RB2Dir2Spd,OP010_SOP110_RB01
13_CCHA,OP010,Controller,USR_SEQ_RBwDoor,OP010_SOP110_Seq
13_CCHA,OP010,Controller,DRV_ArmorStart_VFD,OP010_SOP110_U01
13_CCHA,OP010,Controller,PCT_MDATA_Movements,OP010_SOP120_MDATA_M01
13_CCHA,OP010,Controller,TRA_RB2Dir2Spd,OP010_SOP120_RB01
13_CCHA,OP010,Controller,USR_SEQ_RB2Dir2Spd,OP010_SOP120_Seq
13_CCHA,OP010,Controller,DRV_ArmorStart_VFD,OP010_SOP120_U01
13_CCHA,OP010,Controller,PCT_MDATA_Movements,OP010_SOP130_MDATA_M01
13_CCHA,OP010,Controller,TRA_RB2Dir2Spd,OP010_SOP130_RB01
13_CCHA,OP010,Controller,USR_SEQ_RB2Dir2Spd,OP010_SOP130_Seq
13_CCHA,OP010,Controller,DRV_ArmorStart_VFD,OP010_SOP130_U01
13_CCHA,OP010,Controller,PCT_MDATA_Movements,OP010_SOP140_MDATA_M01
13_CCHA,OP010,Controller,TRA_RB2Dir2Spd,OP010_SOP140_RB01
13_CCHA,OP010,Controller,USR_SEQ_RB2Dir2Spd,OP010_SOP140_Seq
13_CCHA,OP010,Controller,DRV_ArmorStart_VFD,OP010_SOP140_U01
13_CCHA,OP010,Controller,PCT_MDATA_Movements,OP010_SOP150_MDATA_M01
13_CCHA,OP010,Controller,PCT_MDATA_Movements,OP010_SOP150_MDATA_M02
13_CCHA,OP010,Controller,TRA_RB2Dir2Spd,OP010_SOP150_RB01
13_CCHA,OP010,Controller,USR_SEQ_RBwDoor,OP010_SOP150_Seq
13_CCHA,OP010,Controller,DRV_ArmorStart_VFD,OP010_SOP150_U01
13_CCHA,OP010,Controller,MOT_Mo2Dir2Pos2Speed,OP010_SOP160_M01
13_CCHA,OP010,Controller,DRV_PowerFlex700EN,OP010_SOP160_U01
13_CCHA,OP010,Controller,CTL_AddFaultMess,OP010_SOP170_FWM01
13_CCHA,OP010,Controller,TRA_PDDelete,OP010_SOP170_PDD_01
13_CCHA,OP010,Controller,TRA_RB2Dir2Spd,OP010_SOP170_RB01
13_CCHA,OP010,Controller,USR_SEQ_RBwOutPut,OP010_SOP170_Seq
13_CCHA,OP010,Controller,DRV_ArmorStart_VFD,OP010_SOP170_U01
13_CCHA,OP010,Controller,CTL_ModeControl,OP010_SOP200t240_Mode
13_CCHA,OP010,Controller,CTL_SeqCtrl,OP010_SOP200t240_SEQ01
13_CCHA,OP010,Controller,PCT_MDATA_Movements,OP010_SOP200_MDATA_M01
13_CCHA,OP010,Controller,PCT_MDATA_Movements,OP010_SOP200_MDATA_M02
13_CCHA,OP010,Controller,TRA_RB2Dir2Spd,OP010_SOP200_RB01
13_CCHA,OP010,Controller,USR_SEQ_RBwDoor_Infeed,OP010_SOP200_Seq
13_CCHA,OP010,Controller,DRV_ArmorStart_VFD,OP010_SOP200_U01
13_CCHA,OP010,Controller,PCT_InViewDisplay,OP010_SOP210_InView01
13_CCHA,OP010,Controller,MOT_Mo2Dir2Pos2Speed,OP010_SOP210_M01
13_CCHA,OP010,Controller,DRV_PowerFlex700EN,OP010_SOP210_U01
13_CCHA,OP010,Controller,PCT_MDATA_Movements,OP010_SOP220_MDATA_M01
13_CCHA,OP010,Controller,TRA_RB2Dir2Spd,OP010_SOP220_RB01
13_CCHA,OP010,Controller,USR_SEQ_RB2Dir2Spd,OP010_SOP220_Seq
13_CCHA,OP010,Controller,DRV_ArmorStart_VFD,OP010_SOP220_U01
13_CCHA,OP010,Controller,PCT_MDATA_Movements,OP010_SOP230_MDATA_M01
13_CCHA,OP010,Controller,TRA_RB2Dir2Spd,OP010_SOP230_RB01
13_CCHA,OP010,Controller,USR_SEQ_RB2Dir2Spd,OP010_SOP230_Seq
13_CCHA,OP010,Controller,DRV_ArmorStart_VFD,OP010_SOP230_U01
13_CCHA,OP010,Controller,TRA_PDCreate,OP010_SOP240_PDC_01
13_CCHA,OP010,Controller,TRA_PDDelete,OP010_SOP240_PDD_01
13_CCHA,OP010,Controller,TRA_RB2Dir2Spd,OP010_SOP240_RB01
13_CCHA,OP010,Controller,USR_SEQ_RBwOutPut,OP010_SOP240_Seq
13_CCHA,OP010,Controller,DRV_ArmorStart_VFD,OP010_SOP240_U01
13_CCHA,OP010,Controller,CTL_GateEntReq,OP010_SOP300t340_Gate01
13_CCHA,OP010,Controller,CTL_ModeControl,OP010_SOP300t340_Mode
13_CCHA,OP010,Controller,MOT_Mo2Dir0Pos2Speed,OP010_SOP300_M01
13_CCHA,OP010,Controller,MOT_Mo2Dir0Pos2Speed,OP010_SOP300_M02
13_CCHA,OP010,Controller,MOT_Mo2Dir0Pos2Speed,OP010_SOP300_M03
13_CCHA,OP010,Controller,PCT_DUGA,OP010_SOP310_DUGA_01
13_CCHA,OP010,Controller,MOT_Mo2Dir2Pos2Speed,OP010_SOP310_M01
13_CCHA,OP010,Controller,PCT_MDATA_Movements,OP010_SOP310_MDATA_M01
13_CCHA,OP010,Controller,PCT_MDATA_ValueMonitor,OP010_SOP310_MDATA_V01
13_CCHA,OP010,Controller,PCT_MDATA_ValueMonitor,OP010_SOP310_MDATA_V02
13_CCHA,OP010,Controller,CTL_ModeControl,OP010_SOP310_Mode
13_CCHA,OP010,Controller,TRA_PDDelete,OP010_SOP310_PDD01
13_CCHA,OP010,Controller,TRA_PDHolder,OP010_SOP310_PDH01
13_CCHA,OP010,Controller,PCT_ProDB_1Proc5Tools,OP010_SOP310_ProDB_01
13_CCHA,OP010,Controller,CTL_SeqCtrl,OP010_SOP310_SEQ01
13_CCHA,OP010,Controller,DRV_PowerFlex700EN,OP010_SOP310_U01
13_CCHA,OP010,Controller,VAL_NoLimits,OP010_SOP310_Y01
13_CCHA,OP010,Controller,VAL_NoLimits,OP010_SOP310_Y02
13_CCHA,OP010,Controller,VAL_NoLimits,OP010_SOP310_Y03
13_CCHA,OP010,Controller,VAL_NoLimits,OP010_SOP310_Y04
13_CCHA,OP010,Controller,VAL_ConfigValve24Lim_CLS_OPN,OP010_SOP310_Y05
13_CCHA,OP010,Controller,VAL_ConfigValve24Lim_CLS_OPN,OP010_SOP310_Y06
13_CCHA,OP010,Controller,PCT_DUGA,OP010_SOP320_DUGA_01
13_CCHA,OP010,Controller,MOT_Mo2Dir0Pos2Speed,OP010_SOP320_M01
13_CCHA,OP010,Controller,PCT_MDATA_Movements,OP010_SOP320_MDATA_M01
13_CCHA,OP010,Controller,PCT_MDATA_ValueMonitor,OP010_SOP320_MDATA_V01
13_CCHA,OP010,Controller,CTL_ModeControl,OP010_SOP320_Mode
13_CCHA,OP010,Controller,TRA_PDDelete,OP010_SOP320_PDD01
13_CCHA,OP010,Controller,TRA_PDHolder,OP010_SOP320_PDH01
13_CCHA,OP010,Controller,PCT_ProDB_1Proc5Tools,OP010_SOP320_ProDB_01
13_CCHA,OP010,Controller,CTL_SeqCtrl,OP010_SOP320_SEQ01
13_CCHA,OP010,Controller,DRV_PowerFlex70EN,OP010_SOP320_U01
13_CCHA,OP010,Controller,VAL_ConfigValve24Lim_CLS_OPN,OP010_SOP320_Y01
13_CCHA,OP010,Controller,VAL_ConfigValve24Lim_CLS_OPN,OP010_SOP320_Y02
13_CCHA,OP010,Controller,VAL_NoLimits,OP010_SOP320_Y03
13_CCHA,OP010,Controller,PCT_DUGA,OP010_SOP330_DUGA_01
13_CCHA,OP010,Controller,PCT_MDATA_Movements,OP010_SOP330_MDATA_M01
13_CCHA,OP010,Controller,PCT_MDATA_Movements,OP010_SOP330_MDATA_M02
13_CCHA,OP010,Controller,PCT_MDATA_Movements,OP010_SOP330_MDATA_M03
13_CCHA,OP010,Controller,PCT_MDATA_ValueMonitor,OP010_SOP330_MDATA_V01
13_CCHA,OP010,Controller,PCT_MDATA_ValueMonitor,OP010_SOP330_MDATA_V02
13_CCHA,OP010,Controller,CTL_ModeControl,OP010_SOP330_Mode
13_CCHA,OP010,Controller,ROB_ABB_Robot,OP010_SOP330_ROB01
13_CCHA,OP010,Controller,TRA_PDCreate,OP010_SOP330_ROB01_PDC
13_CCHA,OP010,Controller,CTL_SeqCtrl,OP010_SOP330_SEQ01
13_CCHA,OP010,Controller,CTL_AddFaultMess,OP010_SOP340_FWM01
13_CCHA,OP010,Controller,TRA_PDDelete,OP010_SOP340_PDD01
13_CCHA,OP010,Controller,TRA_PDHolder,OP010_SOP340_PDH
13_CCHA,OP010,Controller,TRA_PDHolder,OP010_SOP345_PDH01
13_CCHA,OP010,Controller,PCT_DUGA_Alarms,PCT_DUGA_Alarms_01
13_CCHA,OP010,Controller,CTL_ProcessorStatus,PLC_Status
13_CCHA,OP010,Controller,TRA_PDMove,SOP100_RB01_PDM_SOP110_RB01
13_CCHA,OP010,Controller,TRA_PDMove,SOP110_RB01_PDM_SOP120_RB01
13_CCHA,OP010,Controller,TRA_PDMove,SOP120_RB01_PDM_SOP130_RB01
13_CCHA,OP010,Controller,TRA_PDMove,SOP130_RB01_PDM_SOP140_RB01
13_CCHA,OP010,Controller,TRA_PDMove,SOP140_RB01_PDM_SOP150_RB01
13_CCHA,OP010,Controller,TRA_PDMove,SOP150_RB01_PDM_SOP170_RB01
13_CCHA,OP010,Controller,TRA_PDMove,SOP170_RB01_PDM_SOP330_ROB01
13_CCHA,OP010,Controller,TRA_PDMove,SOP200_RB01_PDM_SOP220_RB01
13_CCHA,OP010,Controller,TRA_PDMove,SOP220_RB01_PDM_SOP230_RB01
13_CCHA,OP010,Controller,TRA_PDMove,SOP230_RB01_PDM_SOP240_RB01
13_CCHA,OP010,Controller,TRA_PDDelete,SOP330_ROB01_PDD
13_CCHA,OP010,Controller,TRA_PDMove,SOP330_ROB01_PDM_SOP200
13_CCHA,OP010,Controller,TRA_PDMove,SOP330_ROB01_PDM_SOP310
13_CCHA,OP010,Controller,TRA_PDMove,SOP330_ROB01_PDM_SOP320
13_CCHA,OP010,Controller,TRA_PDMove,SOP330_ROB01_PDM_SOP340
13_CCHA,OP010,Controller,TRA_PDMove,SOP330_ROB01_PDM_SOP345
13_CCHA,OP010,Controller,PCT_DUGA_Com,_DUGA_Com_01
13_CCHA,OP010,Controller,PCT_MDATA_ComMov,_MDATA_ComMov_01
13_CCHA,OP010,Controller,PCT_MDATA_ComVal,_MDATA_ComVal_02
13_CCHA,OP010,Controller,PCT_ProDB_Com1Proc5Tools,_ProDB_Com1Proc5Tools
13_CCHA,OP010,Controller,MCP_PVP1500,_PVP1500
13_CCHA,OP020,Controller,CTL_ModeControl,AREA_Mode
13_CCHA,OP020,Controller,MCP_Housekeeping,Housekeeping
13_CCHA,OP020,Controller,MCP_MessageServer,MCP_MessageServer
13_CCHA,OP020,Controller,PCT_DUGA,OP020_DUGA_01
13_CCHA,OP020,Controller,CTL_ModeControl,OP020_Mode
13_CCHA,OP020,Controller,SAF_AddSafetyFault,OP020_SOP040_SFM
13_CCHA,OP020,Controller,CTL_FeedBackControl,OP020_SOP100_FB_M01
13_CCHA,OP020,Controller,CTL_FeedBackControl,OP020_SOP100_FB_M03
13_CCHA,OP020,Controller,CTL_FeedBackControl,OP020_SOP100_FB_M04
13_CCHA,OP020,Controller,CTL_FeedBackControl,OP020_SOP100_FB_M05
13_CCHA,OP020,Controller,CTL_FeedBackControl,OP020_SOP100_FB_M06
